"cafe_num","cafe_name","cafe_img","cafe_addr","cafe_menu","cafe_time","cafe_detail"
48,자연의 길,47,서울특별시 종로구 자하문로7길 3,천연건강음료,월~토 10:00 ~ 21:00일 15:00~21:00,‘자연의 길’은 현대인이 즐겨 찾는 고급 커피 음료 외에 천연건강음료를 만들어 제공하고 있다
49,마샹스,48,서울특별시 종로구 자하문로 36,밀크티,"11:00 - 18:00",계절에 따라 다양하게 맛보는 홍차와 밀크티
50,더 스팟 패뷸러스,49,서울특별시 중구 명동2길 22,마카롱,"10:00 ~ 22:30",서울 중심의 뉴트로카페
51,고궁뜨락,50,서울특별시 종로구 효자로 12,황실와플세트,"09:00 ~ 18:00 (수요일 및 토요일 09:00 ~ 21:00) / (전화문의)","국립고궁박물관 1층에 위치한 고궁뜨락은 뮤지엄숍과 카페로 이루어져 있으며 운영시간은 오전 9시부터 오후 6시까지이고, 수요일 및 토요일은 오전 9시부터 오후 9시까지다"
52,소울,51,서울특별시 종로구 자하문로 50,앙금크림 설기,"10:00 ~ 21:00",창성동에 위치한 소울은 새하얀 외관이 눈에 띄는 쌀디저트 전문점이다
53,바캉스커피,52,서울특별시 중구 남대문로9길 12,바캉스커피,"12:00 ~ 21:30 (일요일 21시 마감)",을지로 입구 전망이 한눈에 보이는 빌딩 9층 옥상에 있는 바캉스커피
54,라 카페 갤러리,53,서울특별시 종로구 자하문로10길 28,계절담근차,"11:00 ~ 22:00",라 카페 갤러리는 생명·평화·나눔의 세계를 열어가는 비영리 사회단체인 '나눔문화'에서 운영하는 문화공간이다
55,인왕산 더숲 초소책방,54,서울특별시 종로구 인왕산로 172,아메리카노,"08:00 ~ 21:00",통유리 너머로 남산타워가 한눈에 들어온다
56,르몽블랑,55,서울특별시 용산구 신흥로 99-4,털실무스케이크 / 니트 티셔츠 케이크,화-일 12:00 ~ 20:00,눈도 입도 즐거운 해방촌 루프탑 이색카페!
57,꾸에바마테라,56,서울특별시 용산구 소월로20길 28-1,수제 다쿠아즈,"12:00~20:00라스트오더 19:30",동화 속 감성의 이색카페
58,아키비스트 서촌,57,서울특별시 종로구 효자로13길 52,"아메리카노,라떼,아인슈패너,플렛화이트,디저트","11:00~21:00 (라스트 오더 20:30)",서촌 아인슈페너 맛있는 경복궁 카페
59,커피친구,58,서울특별시 종로구 삼봉로 81,핸드드립 커피,평일 10:00 - 21:30토요일 12:00 - 17:30,원두로 내린 핸드드립 커피와 클래식한 분위기가 좋은 카페
60,코끼리베이글,59,서울특별시 영등포구 선유로 176,"버터솔트,플레인베이글","8:30~20:00 (제품 소진 시까지)",줄 서서 구매하는 서울 베이글 3대 성지
61,커피생각,60,서울특별시 은평구 불광천길 420,융드립커피 / 수제 티라미수,"10:00 ~ 22:00",핸드드립 커피와 맛있는 스콘의 조화
62,널담은공간,61,서울특별시 종로구 삼청로 24,아몬드 크림라떼,"10:00~21:30 (라스트오더 21:00)","비건음료와 비건디저트, 엽서를 즐길 수 있는 따뜻한 공간"
63,뮤직컴플렉스 서울,62,서울특별시 종로구 인사동길 49,아메리카노,"12:00 - 24:00","인사동에 뜬 붉은노을, 아날로그 감성과 힙한 감성이 공존하는 곳"
64,푸드떼,63,서울특별시 종로구 율곡로1길 40-37,말차 몽블랑 파르페,목-일 13:00 - 19:00,"차와 과자, 그리고 도자기"
65,겟댓샷(Get That Shot),64,서울특별시 영등포구 경인로 846,나오미크로아상,"월~목 10:30~20:00(연장시 20:30)금, 토, 일 10:30~20:30",영등포 롯데백화점 카페 겟댓샷
66,아름다운차박물관,65,서울특별시 종로구 인사동길 19-11,차 / 빙수,"11:30 ~ 20:00","※ 영업시간 11:30 ~ 20:00

인사동에는 맛있는 맛집과 더불어 분위기 좋은 찻집도 많다"
67,인사동찻집,66,서울특별시 종로구 인사동길 33-1,고유민속차,"11:00 ~ 21:00",한옥과 마당이 있는 분위기 있는 찻집
68,옛찻집,67,서울특별시 종로구 인사동길 33-1,고유민속차,"12:00 ~ 20:00","인사동에 위치한 옛찻집은 영화 촬영 장소로 이용될 만큼 유명한 전통찻집으로, 한국의 전통 고유 민속 차들과 전통적인 간식들을 판매한다"
69,뜰과다원,68,서울특별시 종로구 인사동8길 6-4,쌍화차 / 대추차,"10:00 ~ 23:00",고풍스러운 한옥카페
70,카페 미러룸,69,서울특별시 종로구 삼청로2길 40,오미자차,"11:30 - 22:00","북촌 한옥마을의 이색카페, 옛 위인이 살던 집터에 위치한 카페 미러룸이다"
71,여인숙,70,서울특별시 용산구 녹사평대로42길 19,기버터스테이크,"18:00 ~ 02:00",기버터스테이크 이태원맛집
72,더한강,71,서울특별시 동작구 노량진로32길 29-6,아메리카노 커피,"09:00 ~ 21:00 (라스트 오더 21:00)",한강뷰를 즐길 수 있는 노량진 전망좋은 카페
73,전통다원,72,서울특별시 종로구 인사동10길 11-4,대추차 / 오미자차,"11:00 ~ 21:00",한옥의 아름다움을 느끼며 차 한잔하기 좋은 카페
74,부빙,73,서울특별시 종로구 창의문로 136,팥빙수,"13:00 ~ 19:30 (Last Order 19:00)","종로핫플레이스, 줄 서는 빙수 맛집"
75,부암동 몽유도원 도이창,74,서울특별시 종로구 창의문로11길 10,스페셜티커피 오리지널,평일 11:00 ~ 17:00 / 주말 11:00 ~ 18:00,공정무역 커피와 야외테라스가 있는 카페
76,카페LN (Luden Loquen SPACE),75,서울특별시 종로구 북촌로5나길 5,오미자차 / 모과차 / 블루베리라떼,"10:00 ~ 22:00 (일요일 10:00 ~ 21:00)","카페LN은 북촌 초입에 위치한 한옥 카페로, ‘차 마시는 곳’ 이상의 가치를 제공하고자 문화를 더하는 다양한 노력을 하면서 국내는 물론 세계 각국의 여행객들이 찾아오는 곳으로 자리 잡고 있다"
77,티테라피,76,서울특별시 종로구 윤보선길 74,"향통차, 오미자차","10:00 ~ 21:00 (일요일 20:00까지 영업)",일상에 지친 몸과 마음을 치유하는 티테라피
78,어니언 안국,77,서울특별시 종로구 계동길 5,아메리카노,월~금 07:00-22:00 (라스트 오더 21:30) / 토~일 09:00-22:00 (라스트 오더 21:30),베이커리카페로 변신한 한옥
79,이채,78,서울특별시 종로구 북촌로 20-21,아메리카노,"11:00 ~ 20:00","100년 역사의 한옥집을 새로이 리모델링한 커피 전문점"
80,파툼(FATUM),79,서울특별시 종로구 삼청로 86-5,아메리카노,"12:00~22:00",삼청동의 아름다운 경치를 한눈에 담다
81,을지다방,80,서울특별시 중구 충무로 72-1,쌍화차,월-토요일 06:00 ~ 21:00일요일 09:00 ~ 20:00,뉴트로 감성 물씬 풍기는 매력적인 카페
82,달 카페,81,서울특별시 종로구 삼청로 94-1,항아리 팥빙수,"10:00~21:00",분위기 있는 곳에서의 행복한 시간
83,런던베이글뮤지엄,82,서울특별시 종로구 북촌로4길 20 연화빌딩,베이글,"08:00 ~ 18:00",가장 가까운 런던 속 베이글 뮤지엄
84,청수당,83,서울특별시 종로구 돈화문로11나길 31-9,"오리지날에그수플레카스텔,딸기수플레카스텔라,스톤드립커피",매일 11:30 ~ 22:00 (라스트 오더 21:30),도심 한가운데 있는 정원 카페
85,종로3가 까페솜붕아 본점,84,서울특별시 종로구 종로 125 대광빌딩,"미니붕어빵, 솜붕아라떼","09:30-18:30",종로3가 대로변에 위치한 테이크아웃전문점으로 작은 카페다
86,치즈인더스트리[치즈공업사],85,서울특별시 종로구 수표로28길 33-7,치즈연유라떼 / 고다치즈케이크,"10:00~22:00라스트오더 21:30",치즈 목장에 온듯한 카페
87,감꽃당,86,서울특별시 종로구 돈화문로11다길 38,에그타르트,"10:30 ~ 22:00",한옥의 아름다움을 고스란히 간직하고 있는 카페
88,호우주의보,87,서울특별시 용산구 소월로40길 85,세서미클라우드 / 페퍼클라우드,"11:00~21:30라스트오더 21:00※ 캐치테이블 어플 통해 예약 가능",일 년 내내 비가 내리는 카페
89,로이터 커피 셸터,88,서울특별시 중구 필동로 53 삼경빌딩,에스프레소,"11:00 - 22:00",남산 뷰 루프탑을 즐길 수 있는 충무로 카페
90,라크라센타,89,서울특별시 영등포구 문래로 92-5,"이탈리안떡볶이, 아메리칸플레이트",평일 9:00~21:50 / 주말 8:00~21:50,브런치가 맛있는 창고형 카페
91,정애쿠키,90,서울특별시 종로구 계동길 76,정애쿠키,"10:00 - 20:00",레트로 감성의 수제쿠키집
92,산모퉁이,91,서울특별시 종로구 백석동길 153,아메리카노,월~금 11:00~19:00 토~일 11:00~21:00,드라마 촬영지로 유명한 전망 좋은 카페
93,서울서둘째로잘하는집,92,서울특별시 종로구 삼청로 122-1,단팥죽,"11:00 ~ 20:30",소박한 분위기의 단팥죽으로 꾸준히 사랑받는 곳
94,을지로 원형들,93,서울특별시 중구 창경궁로1길 38,딜 케이크,"14:00 - 21:00",고수케이크의 맛
95,헤리티지클럽,94,서울특별시 종로구 서순라길 75,"에스프레소, 플레인 스콘세트","12:00-23:00",여유로운 돌담길과 따듯한 햇살 아래 커피와 차를 마실 수 있는 카페 헤리티지클럽이다 
96,호랑이,95,서울특별시 중구 을지로 157,"호랑이라떼, 후르츠산도","11:00~19:30",서울 을지로에 있는 카페 호랑이는 레트로하면서도 힙한 분위기를 자랑한다
97,예카페 (yeahcafe),96,서울특별시 종로구 서순라길 55,스페셜 커피 / 대추 생강 한방차,평일 11:00~23:00 (라스트오더 22:00)주말 12:00~23:00 (라스트오더 22:00),종로3가 종묘 돌담길에 위치한 우리 전통차를 즐길 수 있는 카페
98,빠우,97,서울특별시 중구 을지로 157,빠우도나스,"11:00~19:00",을지로에 자리한 도넛 전문점이다
99,뚜스뚜스 흑석역점,98,서울특별시 동작구 현충로 75 원불교100년기념관 및 역사문화기념관,"뚜스로얄브런치세트, 프렌치토스트세트,폴포크샌드위치세트","07:00 ~ 23:30",다양하고 맛있는 흑석역 카페
100,케냐키암부,99,서울특별시 용산구 회나무로44길 36,키암부 AA,월~토 - 09:30 ~ 22:00/ 일 - 10:00 ~ 21:00,진한 케냐 커피를 맛볼 수 있는 카페
101,갤러리카페 3안,100,서울특별시 종로구 북촌로 137-7,아메리카노 / 카페라떼,"10:30 ~ 18:30",삼청동에 자리잡은 갤러리카페3안은 현대와 고전적인 감성을 경험할 수 있는 공간으로 1920년 당시에 지었던 목재와 현대 건축간의 조화를 느낄 수 있다
102,갤러리 더 스퀘어,101,서울특별시 종로구 계동길 128 서울빌라,티 오마카세,문의바람,티 코스가 있는 한옥뷰 카페
103,챔프커피 2작업실,102,서울특별시 용산구 녹사평대로26가길 24,"챔프커피, 퀸즈커피","09:00 ~ 20:30",서울시 용산구 이태원에 위치한 ‘챔프 커피’는 특별한 커피를 즐기는 사람들이 많이 찾는 빈티지한 분위기의 카페이다
104,상진다방,103,서울특별시 영등포구 도림로133길 9,쌍화차 / 냉커피,평일 07:00 ~ 18:00토요일 07:00 ~ 15:00,영등포구에 위치하고있는 상진다방은 전통찻집이다
105,동빙고 본점,104,서울특별시 용산구 이촌로 319 현대아파트,"단팥죽, 팥빙수",매일 10:30~22:00,국내산 팥만을 사용한 오리지널 팥빙수 맛집
106,벤스쿠키 이태원점,105,서울특별시 용산구 이태원로 203,쿠키,"12:30-20:30",매일 매장에서 직접 굽는 영국식 수제 쿠키 전문점이다
107,콘하스 한남점,106,서울특별시 용산구 이태원로55나길 22,카페라떼,"10:00~22:00 (라스트 오더 21:00)",시원하고 감각적인 수영장 포토존
108,오아시스 한남점,107,서울특별시 용산구 이태원로45길 30,에그베네딕트 훈제연어,"월~목요일, 일요일 09:00~18:00 (라스트오더 17:00)금, 토요일 09:00~19:00 (라스트오더 18:00)",다양한 브런치 메뉴를 맛볼 수 있는 곳
109,한남작업실,108,서울특별시 용산구 이태원로55나길 7,"애플시나몬 라떼, 애플르바부 스콘",매일 11:00~22:00,유명 작가의 아틀리에가 있는 정원 카페
110,Summer Lane,109,서울특별시 용산구 이태원로55가길 49,크로아상프렌치토스트,매일 7:30~18:00 (17:00라스트오더),반려동물과 호주식 브런치를 즐길 수 있는 곳
111,카페1953위드오드리,110,서울특별시 영등포구 경인로77가길 12,"오드리 초코 케이크, 에스프레소, 아메리카노","10:00~22:00",오드리헵번을 테마로 한 이색카페
112,앤트러사이트 한남점,111,서울특별시 용산구 이태원로 240,"아메리카노, 마들렌","09:00~22:00",음악과 커피가 만들어 내는 공간
113,맥심플랜트,112,서울특별시 용산구 이태원로 250,에스프레소,"10:00 - 22:00","도심 속 정원, 숲 속 커피 공장"
114,패션5(Passion 5),113,서울특별시 용산구 이태원로 272,라즈베리 크림치즈 머핀 / 커피,"07:30~22:00",다양한 디저트를 볼 수 있는 프리미엄 갤러리카페
115,더쌍화커피 1967 광장시장점,114,서울특별시 종로구 동호로 403-3,전통쌍화,평일 11:00~21:00 / 주말 10:00~22:00,광장시장 입구에 있는 레트로한 분위기의 전통찻집이다
116,사유,115,서울특별시 용산구 이태원로54길 5,아메리카노,"11:00 ~ 22:00",올드하면서도 모던한 외관과 감각적인 실내 인테리어가 눈길을 사로잡다
117,올드페리도넛,116,서울특별시 용산구 한남대로27길 66,크림브륄레 도넛,매일 11:00~20:30 (20:00 라스트오더),도넛 속에 크림 가득 도넛 전문 카페
118,태극당,117,경상북도 영주시 번영로 154 태극당,카스테라 인절미,"08:00~21:00",카스테라인절미로 유명한 40년 전통 제과점
119,고양이똥,118,서울특별시 강서구 공항대로59가길 13,아란치니,매일 10:30 ~ 17:00  (브런치메뉴 라스트 오더 15:00),"등촌역, 염창역 대표 브런치 카페"
120,앤더슨씨 나인원점,119,서울특별시 용산구 한남대로 91 나인원 한남,Shrimp Avocado Open Sandwich,매일 10:00~22:00(브레이크타임 15:00~17:00),떡볶이를 요리로 내놓는 퓨전카페
121,장프리고,120,서울특별시 중구 퇴계로62길 9-8,사과 콩포트 브리치즈 구이,"17:00 ~ 익익 01:00",냉장고 문을 열고 들어가는 동대문 이색 카페 겸 다이닝바
122,조셉의커피나무,121,서울특별시 성북구 성북로31길 65,Flower Tea,"11:30~22:00",분위기 좋은 성북동 카페
123,GROUND62,122,서울특별시 종로구 평창길 62,아메리카노,매일 11:00 ~ 21:00 (20:30 라스트오더),서울 자연속 쉼멍 놀멍 힐링공간 카페
124,학림다방,123,서울특별시 종로구 대학로 119,비엔나커피,"10:00~23:00 (라스트오더 22:00)",복고풍의 분위기의 카페
125,성북동빵공장,124,서울특별시 성북구 대사관로 40,자두 얼그레이 에이드,"10:00~22:00",좋은 재료를 사용하여 진심을 다하는 빵집
126,동작노을카페,125,서울특별시 동작구 동작대로 335,"아메리카노, 디저트","10:00 ~ 22:00",한강뷰맛집 카페
127,동작구름카페,126,서울특별시 서초구 동작대로 350,커피,"10:00 ~ 22:00",한강뷰 카페
128,코끼리베이글 한남점,127,서울특별시 용산구 서빙고로91길 10,생크림 베이글,"08:30~18:30(재료 소진 시 조기 마감)",한강뷰 카페
129,펫카페꾸꾸뚜뚜,128,경기도 고양시 덕양구 대덕산로 70 DMC 디에트르 한강,커피 등 음료,"12:00 ~ 21:00","고양시 화정 부근에 위치한 반려견 놀이터, 반려견들을 위한 호텔과 운동장이 있고 액세서리를 포함한 다양한 용품도 구매할 수 있다"
130,우주제빵소,129,서울특별시 성북구 성북로28길 13,상하목장아이스크림,화요일~일요일 10:00~22:00,주택을 개조한 맛있는 베이커리 카페
131,수연산방,130,서울특별시 성북구 성북로26길 8,"단호박빙수, 대추차",수~금 11:30~18:00주말 11:30~22:00 (breaktime 18:00~19:00),"전통한옥에 문을 연, 대추차가 맛있는 전통찻집 1호 수연산방"
132,개뿔,131,서울특별시 종로구 낙산성곽서1길 26,풍경화,매일 10:00 ~ 21:50 (21:35 라스트오더),낙산공원에서 서울뷰를 즐기는 카페
133,크레이트커피,132,서울특별시 용산구 독서당로 97,아메리카노,월~금 08:00~21:00 / 토~일 09:00~21:00,조용하고 모던한 그린카페
134,도넛정수,133,서울특별시 종로구 창신12길 40,도넛,"11:30 ~ 21:00",전국 각지의 특산물로 빚어낸 9가지 다채로운 도넛
135,테르트르카페,134,서울특별시 종로구 낙산5길 46,"블랙라떼, 핑크에이드","11:30 ~ 22:30",서울의 전경을 한눈에 담을 수 있는 뷰를 갖춘 카페
136,이엔갤러리,135,서울특별시 종로구 평창길 224,"드립커피, 에이드, 차, 하우수주스",매일 00:00~24:00(24시간 영업),책읽기 좋은 평창동카페
137,카페 모뜨,136,서울특별시 종로구 평창30길 24,"아메리카노, 모뜨 커피","11:00 ~ 21:30",멋진 루프탑에서 바라보는 경치가 아름다운 카페
138,네이버후드,137,서울특별시 성북구 대사관로 133,아메리카노,매일 11:00 ~ 22:00 ( 21:30 라스트오더 ),성북동 숲속 뷰 힐링 카페
139,오버스토리,138,서울특별시 성북구 선잠로2다길 13-13,시그니처 바닐라 라떼,화~토요일 13:00~20:30,프라이빗한 예약제 카페
140,키미아트,139,서울특별시 종로구 평창30길 47,파니니세트,"10:30 ~ 22:00※ 전화문의 요망","다양한 작가, 다양한 작품"
141,디자이너리 카페,140,서울특별시 관악구 관천로 71-1 디자이너리 빌딩,"아메리카노, 카페라떼, 아인슈페너, 바닐라라떼",매일 10:30 ~ 23:00,탁 트인 조망의 신림역 주변 루푸탑 카페
142,포레스트피크닉카페,141,경기도 고양시 덕양구 서오릉로 317,아메리카노,"11:00 ~22:00",잔디 마당이 있는 서오릉 카페
