"place_num","place_name","place_img","place_addr","place_time","place_detail"
40,보신각 터,39,서울특별시 종로구 종로 54,제한 없음,다 함께 새해를 맞이하는 곳
41,세화미술관,40,서울특별시 종로구 새문안로 68,"10:00~18:00 (매표마감 17:30) 
※ 문화가 있는 날(매달 마지막 주 수요일) 21:00까지",보고 즐기고 소통하는 현대미술
42,세종충무공이야기,41,서울특별시 종로구 세종대로 지하 175,"10:00 ~ 18:30 (입장마감 18:00)",도심 속에서 생생한 역사를 체험할 수 있는 공간
43,나석주의사동상,42,서울특별시 중구 을지로 66,문의바람,조국을 위해 기꺼이 목숨을 바쳤던 나석주 의사의 숭고한 희생정신을 추모하기 위해 현재 외환은행 본점이 위치한 옛 동양척식주식회사 자리에 그의 동상이 건립되어 있다
44,상동교회,43,서울특별시 중구 남대문로 30,문의바람,민족운동의 인재를 길러낸 곳
45,명동관광정보센터,44,서울특별시 중구 을지로 66,"09:00 ~ 18:00",특별한 체험을 하는 곳
46,KT스퀘어,45,서울특별시 종로구 세종대로 178 KT 광화문 빌딩 West,"09:00~20:00 (주말 및 공휴일 동일)",체험과 공연을 함께 즐기는 복합문화공간
47,명동,46,서울특별시 중구 을지로 66,문의바람,"쇼핑의 중심지, 대표적인 관광명소"
48,세종대왕 동상,47,서울특별시 종로구 세종대로 175,광화문 광장은 도심 열린 광장으로 연중 24시간 상시 개방,"민족의 자긍심을 높이고, 민족의 우수성을 세계에 널리 알린다"
49,세종문화회관,48,서울특별시 종로구 세종대로 175,"공연, 전시에  따라 다름",세종문화회관은 시민의 문화향수 기회를 확대하고 문화창달에 기여할 수 있는 문화예술공간의 조성과 운영 등을 통해 서울시 시민문화복지 구현에 이바지할 것을 목적으로 1999년 7월 1일 재단법인으로 출범하였다
50,SK텔레콤 미래기술체험관 T.um(티움),49,서울특별시 중구 을지로 65,평일 : 10:00~18:00,"생활 전반이 혁신되는 새로운 세상, 세상 모든 것이 연결되는 미래

순수한 우리말로 ‘싹을 틔우다’라는 의미를 보유하고 있는 ICT 뮤지엄으로 SK텔레콤의 기술력을 체험할 수 있는 공간이다"
51,우표박물관 (구.우표문화누리),50,서울특별시 중구 소공로 70,"09:00~17:00 (네이버 사전예약 시스템 운영)",우표에 관한 모든 것을 만나고 배울 수 있는 곳
52,충무공 이순신 동상,51,서울특별시 종로구 세종대로 175,"00:00~24:00",광화문의 충무공 이순신 장군 동상은 정부의 산하 단체였던 애국선열 조상건립위원회와 서울신문사의 공동주관으로 1968년 4월 27일 건립되었다
53,국토발전전시관,52,서울특별시 중구 정동길 18,화~일요일 09:30 - 17:30,"국토발전, 성장과 균형을 넘어 새로운 비상으로"
54,광화문광장,53,서울특별시 종로구 세종대로 172,"24시간 개방",새로운 시민중심 대한민국 대표공간
55,유관순기념관(서울),54,서울특별시 중구 통일로4길 30-1,문의바람,"1974년 완공 이후 여러 차례 증축을 통해 현재 1,700석 규모의 강당으로 되어 있으며, 이화인의 시작과 끝인 입학식과 졸업식이 이곳에서 거행된다"
56,서울역사박물관,55,서울특별시 종로구 새문안로 55 서울역사박물관,"9:00 ~ 18:00 ※ 주중 · 주말 동일 (2021년 11월 2일부터 적용)","조선시대를 중심으로 선사시대부터 현대까지
서울의 역사·문화를 정리하여 보여주는 도시역사박물관"
57,우당 이회영 선생 흉상,56,서울특별시 중구 명동11길 20,문의바람,대한의 독립을 위해 앞장섰던 애국지사
58,대한제국군 서울시가 전투지,57,서울특별시 중구 세종대로 39,문의바람,대한제국군의 신념
59,경희궁 흥화문,58,서울특별시 종로구 새문안로 55,문의바람,조선 광해군 때 세워진 경희궁 정문
60,공평도시유적전시관,59,서울특별시 종로구 우정국로 26,"09:00~18:00",도시 유적과 기억을 원래 위치에 전면적으로 보존하다
61,숭례문,60,서울특별시 중구 세종대로 40,"[개방시간] 09:00~18:00
※ 6~8월은 18:30까지 개방
※ 12~2월은 17:30까지 개방",현존하는 한국 성문 중 가장 규모가 큰 국보 숭례문
62,명동 남대문 북창동 다동무교동 관광특구,61,서울특별시 중구 세종대로 40,문의바람,외국인이 많이 찾는 쇼핑과 먹을거리의 명소
63,서울 중구문화원,62,서울특별시 중구 청계천로 86,"09:00~18:00(갤러리)
※ 프로그램 별 상이",서울의 중심 중구의 문화원
64,정동길,63,서울특별시 중구 정동길 2-1,"00:00~24:00","서울 시내에서 가장 유명한 산책길 중의 하나로, 정동교회 앞 사거리에서 이화여자고등학교 동문 앞을 지나 새문안길에 이르는 구간이다"
65,남대문 갈치조림골목,64,서울특별시 중구 남대문시장길 16-17,문의바람,칼칼한 맛이 일품 남대문시장 갈치조림골목
66,민영환 자결터,65,서울특별시 종로구 공평동,문의바람,"한말의 충신 민영환은 을사늑약의 폐기를 궁궐 앞에서 주장하다가 일본 헌병의 강제해산으로 실패하자 1905년 11월 30일 새벽 6시에 청지기의 집에서 국민, 외교사절, 황제에게 보내는 유서 3통을 남기고 자결하였다"
67,대한민국 임시정부 서울연통부 터,66,서울특별시 중구 서소문로9길 14,문의바람,비밀리에 만든 조직인 대한민국임시정부 직할의 서울연통부가 있었던 자리
68,생명보험교육문화센터,67,서울특별시 종로구 새문안로5길 31 센터포인트 B/D 3층,"■ 체험학습 1일 3회 2시간 운영
   1회 : 10:00~12:00
   2회 : 13:00~15:00
   3회 : 15:30~17:00
■ 진로학습 4시간 운영 (진행 가능 요일 협의 가능)
    1회 : 10:00~15:00",체험의 공간
69,세종로공원,68,서울특별시 종로구 세종대로 지하 189,문의바람,서울 광화문 도심속의 작은 힐링
70,서울 YMCA 사회체육부,69,서울특별시 종로구 종로 69,"06:00~21:00",우리나라 스포츠 진흥의 중심지 역할을 하는 곳
71,이충순 자결 터,70,서울특별시 중구 서소문로 88,문의바람,이충순 지사는 충청남도 홍성(洪城) 출신이다
72,이재명 의거지,71,서울특별시 중구 명동길 74,문의바람,"1909년12월22일 청년지사 이재명이 친일 매국노 이완용을 처단하기 위해 의거한 곳"
73,문화일보홀,72,서울특별시 중구 새문안로 22,공연에 따라 다름,우리나라 최초의 연극 전용 극장
74,대한민국역사박물관,73,서울특별시 종로구 세종대로 198,"평일 10:00~18:00
※ 수요일, 토요일은 21:00까지 야간개장
※ 입장시간 : 관람 종료 1시간 전까지 가능",최초의 국립 근현대사박물관
75,K-컬처 스크린(대한민국역사박물관),74,서울특별시 종로구 세종로,"00:00~24:00",광화문 광장에서 만나는 초대형 외벽 스크린
76,농업박물관,75,서울특별시 중구 새문안로 16,"3월-10월 09:30 ~ 18:00 / 11월-2월 09:30 ~ 17:30","농업박물관은 농업인들이 기증한 전통 농경유물을 잘 보존해 후대 교육용으로 활용하기 위해 1987년 설립된 국내 최초의 농업전문박물관으로, 선사시대부터 현대에 이르기까지 한국 농업의 발달과정을 한눈에 볼 수 있도록 유물·자료·농기구·운반도구 등을 전시하고 있다"
77,오휘&후스파명동,76,서울특별시 중구 명동10길 41,"10:00 ~ 22:00 / 접수마감 20:00",몸과 마음의 힐링을 얻을수 있는 강남구 뷰티스파
78,동산방화랑,77,서울특별시 종로구 인사동9길 35,평일 9:00~18:00 / 토요일 09:00~12:00,"한국화 위주의 전시 및 상설전을 주로 개최하며, 서양화 및 동양화, 조각, 판화와 한국, 중국의 목판화 상설전을 개최한다"
79,조형갤러리,78,서울특별시 종로구 인사동5길 29,"10:30∼18:30",작품을 더 빛나게 하는 갤러리
80,서울 애니메이션센터,79,서울특별시 중구 회현동2가,"10:00~18:00(월요일 및 공휴일 휴무)",상상 속의 친구들을 현실에서 만나볼 수 있는 공간
81,주한 프랑스문화원,80,서울특별시 중구 칠패로 42,"월,수,목,금,토 11:00~18:00 
화 11:00~21:00","주한 프랑스문화원은 한국에서 프랑스를 사랑하고 불어를 쓰는 분들을 위해, 프랑스의 역사, 문화, 언어에 호기심을 가지고 있는 분들을 위해, 그리고 프랑스 또는 유럽에서 공부 하기를 원하는 학생들을 위해서 다양한 정보를 제공하고 있다"
82,돈의문박물관마을,81,서울특별시 종로구 송월길 14-3,"10:00~19:00",반려동물과 함께 느껴보는 근현대 서울의 삶
83,보성사터,82,서울특별시 종로구 수송동,상시 가능,보성사는 1910년 말 창신사와 보성학원 소속 보성사 인쇄소를 합병하여 만든 천도교 계통의 인쇄소이다
84,조계사(서울),83,서울특별시 종로구 우정국로 55,문의바람,한국 불교의 중심 사찰
85,서울 명동성당,84,서울특별시 중구 명동길 74,문의바람,"한국 가톨릭의 대표 성지이며, 우리나라 최초의 고딕 양식으로서
기념비적인 건축물인 명동성당"
86,승동교회,85,서울특별시 종로구 인사동길 7-1,문의바람,한국 기독교의 역사가 숨쉬는 곳
87,명동사격장,86,서울특별시 중구 명동8가길 27,매일 11:00 ~ 20:00,도심 속에서 사격을 즐기다!
88,갤러리 라메르,87,서울특별시 종로구 인사동5길 26,"10:30~18:00",인사동 미술 전시회
89,경희궁공원,88,서울특별시 종로구 새문안로 55,문의바람,"종로구 신문로에 있으며 흥화문, 숭정전 등 문화재와 시립미술관, 서울 정도 600년 기념관 등이 있어 공원과 더불어 문화공간으로도 활용되고 있다"
90,갤러리정,89,서울특별시 종로구 경희궁2길 12,월-토 10:00 ~ 18:00,갤러리정은 2001년 서울의 문화 중심지인 광화문에 개관한 이래 매년 수십 회의 '초대전' 및 '기획전'을 열어왔다
91,아라아트센터,90,서울특별시 종로구 인사동9길 26,매일 10:00 - 19:00(전시별 관람시간 상이),인사동 대규모 문화공간
92,서울 경교장,91,서울특별시 종로구 새문안로 29,"09:00 ~ 18:00 (17:30 입장마감)",대한민국임시정부의 마지막 청사
93,신석구 사택 터,92,서울특별시 중구 청계천로 100,문의바람,국가보훈처 지정 현충시설 10-1-31호
94,경희궁,93,서울특별시 종로구 새문안로 45,"09:00~18:00",그 시절부터 우리가 사랑한 서울의 다섯 궁궐 ③
95,템플스테이 홍보관,94,서울특별시 종로구 우정국로 56,문의바람,한국 전통문화의 풍부한 볼거리가 있는 곳
96,아름다운 차박물관,95,서울특별시 종로구 인사동길 19-11,"11:30~20:00",향긋한 차 문화를 더 널리 알리다
97,백악미술관,96,서울특별시 종로구 인사동9길 16,"10:00~18:00
※ 매주 목요일~다음주 수요일 (주일단위 전시)",일중 김충현 선생님의 작품을 볼 수 있는 곳
98,서울 우정총국,97,서울특별시 종로구 우정국로 59,문의바람,안국동 사거리에서 종각 방향으로 우정국로에 들어서서 바로 오른쪽으로 민가와 나란히 위치한 조그마한 건물이 우정총국(郵征總局)이다
99,보나장신구박물관,98,서울특별시 종로구 인사동9길 9,"화~토 10:30~18:30
일요일 12:00~18:00",우리 옛 여인들의 장신구를 보존하고 널리 알리는 곳
100,서소문역사공원,99,서울특별시 중구 칠패로 5,문의바람,서소문역사공원(西小門歷史公園)은 현재 공원으로 조성되어 있으나 원래는 ‘서소문 밖 네거리 처형지'로 구한말 서소문 전투의 군인 등 사회개혁 세력들 뿐만 아니라 1801년 신유박해부터 1866년 병인박해까지 많은 천주교인이 이곳에서 처형되었다
101,선화랑,100,서울특별시 종로구 인사동5길 8,월~토 10:00∼18:00,한국현대미술의 성장과 발전을 견인해온 명문화랑
102,뮤지엄 김치간,101,서울특별시 종로구 인사동길 35-4,화요일~일요일 10:00~18:00 (마지막 입장 17:30),"김치로 먹고, 놀고, 즐기자!"
103,백송갤러리,102,서울특별시 종로구 인사동길 31-8,"10:30~19:00",한국미술의 국제화를 위해 노력하는 갤러리
104,에무,103,서울특별시 종로구 경희궁1가길 7,"10:30 ~ 22:30",복합문화공간 에무는 서울특별시에서 지정한 전물예술단체로 그 이름은 르네상스 사상가 에라스무스의 약칭이다
105,다이나믹 메이즈 (서울 인사동점),104,서울특별시 종로구 인사동길 12,"10:00~18:00 (입장마감 17:00)",실내 스포츠 테마파크
106,박물관은 살아있다(인사동점),105,서울특별시 종로구 인사동길 12,"11:00~20:00
※ 마감 1시간 전까지 입장 가능",신개념 오감충족 놀이형 체험 전시관
107,컬러풀뮤지엄(COLORPOOL MUSEUM),106,서울특별시 종로구 인사동길 49 안녕인사동 6F,"10:00~20:00(19:00 입장마감)",컬러와 향기가 만나는 아트플레이스 !
108,안녕인사동,107,서울특별시 종로구 인사동길 49,"10:00~22:00","다양한 먹거리, 즐길거리, 볼거리가 가득한 복합문화공간"
109,한국미술관,108,경기도 용인시 기흥구 마북로 244-2,"동절기 10:00~17:00
하절기 10:00~18:00",현대미술의 발전과 대중을 위한 미술문화 보급에 힘쓰는 곳
110,전태일기념관,109,서울특별시 종로구 청계천로 105,"화요일~일요일 
하절기 (3월 ~ 10월) / 10:00 ~ 18:00 
동절기 (11월 ~ 2월) / 10:00 ~ 17:30 
종료 30분 전 입장 마감",노동운동가 전태일을 기념하다
111,서소문성지역사박물관,110,서울특별시 중구 칠패로 5,"09:30 - 17:30",순교한 천주교인들을 기리는 곳이자 건축 디자인으로도 유명한 곳
112,서울아트센터 공평갤러리,111,서울특별시 종로구 삼일대로30길 10-3,"[갤러리] 10:00~18:00
[아트샵] 11:00~21:00",다양한 형식과 장르의 예술을 만나다
113,탑골공원 팔각정,112,서울특별시 종로구 종로 99,문의바람,영국인 브라운이 조성한 현대식 공원
114,세종호텔 세종갤러리,113,서울특별시 중구 퇴계로 145,"11:00~20:00",폭넓고 깊이 있는 미술감상의 기회를 제공하는 세종갤러리
115,탑골공원,114,서울특별시 종로구 종로 99,문의바람,우리 민족의 독립 정신이 살아 숨 쉬는 탑골공원
116,LW컨벤션,115,서울특별시 중구 청파로 464,"평일 09:00 ~ 18:00 
주말 00:00 ~ 24:00",성공적인 비즈니스를 위한 맞춤형 공간
117,하나아트갤러리,116,서울특별시 종로구 인사동10길 2,"10:30 ~ 20:30",대중적이고 전문적인 문화전시공간
118,모던화랑,117,서울특별시 종로구 인사동10길 4,"10:00~19:00",차원 높은 문화생활을 즐겨보자
119,동덕아트갤러리,118,서울특별시 종로구 우정국로 68 동덕빌딩,"10:00~18:00",인사동에 자리한 문화 예술의 중심지
120,경희궁 숭정전,119,서울특별시 종로구 새문안로 45,"09:00 ~ 18:00",숭정전은 원래 경희궁(慶熙宮)의 정전(正殿)이었다
121,쌈지길,120,서울특별시 종로구 인사동길 44,"10:30~20:30",과거와 현재를 연결
122,성곡미술관,121,서울특별시 종로구 경희궁길 42,"10:00~18:00 (전시종료 30분 전까지 입장 가능)",사회봉사의 정신을 미술 문화로 구현하고자 설립된 곳
123,광화문,122,서울특별시 종로구 사직로 161,"11월 ~ 2월: 09:00~17:00(입장마감은 16:00)
3월 ~ 5월: 09:00~18:00(입장마감은 17:00)
6월 ~ 8월: 09:00~18:30(입장마감은 17:30)
9월 ~ 10월: 09:00~18:00(입장마감은 17:00)
※ 기관 사정에 따라 관람시간 단축 및 조정이 있을 수 있다.",경복궁의 정문이자 임금이 행차하는 문
124,초전섬유ㆍ퀼트박물관,123,서울특별시 중구 퇴계로18길 66,"10:00~17:00
※ 입장은 폐관 30분 전까지",우리 섬유의 우수성과 전통을 배워 보는 곳
125,노화랑,124,서울특별시 종로구 인사동길 54,"10:00~18:00","노화랑은 1977년, 서울 종로구 인사동에 '송원화랑'으로 개관했다"
126,고당기념관,125,서울특별시 중구 수표로 48-2,"09:30~17:30",역사가 담긴 공간
127,주한중국문화원,126,서울특별시 종로구 사직로8길 23-1,"09:00~17:30 (점심시간 12:00~13:30)","중국정부가 아시아 지역에서는 최초로 개원한 문화원인 주한중국문화원은 2004년 12월 28일 설립되었으며,한국 각계 인사를 대상으로 현대 중국의 발전상과 중국 문화를 정확히 소개하여 중국을 이해하려는 한국인들에게 정확한 정보 서비스를 제공한다"
128,동십자각,127,서울특별시 종로구 삼청로 1,문의바람,경복궁내 뛰어난 건축물중의 하나
129,종로문화원,128,서울특별시 종로구 율곡로 5,"09:00~18:00","종로문화원은 종로의 다양한 문화유산과 전통거리골목 등과 다양한 문화행사를 통해 시민들과 관광객들에게 제공하며, 지역주민의 삶의 질 향상과 문화복지의 지속적 확산을 꿈꾸며 여가선용의 기회를 부여하고 있다"
130,가람화랑,129,서울특별시 종로구 인사동10길 11,"10:00~17:00",형상미술을 위주로 하는 작가들의 작품을 볼 수 있는 곳
131,인사동,130,서울특별시 종로구 인사동길 62,"00:00~24:00",추억과 즐거운을 선사하는 문화복합몰
132,축구전시관,131,서울특별시 종로구 경희궁길 46,"09:00~18:00",대한민국 축구의 시작부터 현재
133,서울청소년수련관,132,서울특별시 중구 을지로11길 23,상시이용※체험시간은 홈페이지 참조,청소년들의 균형 있는 성장을 돕는 센터
134,갤러리 우림,133,서울특별시 종로구 인사동10길 18,"평일 10:00~18:00
주말 11:00~16:00",미래 지향적인 문화 휴식 공간
135,모인화랑,134,서울특별시 종로구 인사동10길 13,"10:00~18:30 (동절기 ~18:00)",현대미술 작품의 소통의 장
136,서울메트로미술관,135,서울특별시 종로구 사직로 지하 130,"07:00~22:00",경복궁역 안 예술이 깃든 공간
137,경인미술관,136,서울특별시 종로구 인사동10길 11-4,"* 미술관 : 10:00~18:00
(전시 철수 및 준비 - 화요일 / 오픈 - 수요일)
* 전통 다원 : 10:00~22:50
* 어검당 : 10:00~18:00(예약제)",경인 이금홍선생이 설립한 경인미술관
138,경운동민병옥가옥,137,서울특별시 종로구 인사동10길 23-9,문의바람,우리 전통 가옥의 변화를 살펴볼 수 있는 곳
139,시간을 담다,138,서울특별시 중구 삼일대로8길 20-1,"11:00 ~ 20:00",아름다운 추억을 한장의 캐리커쳐로 표현하는 곳
140,인영아트센터,139,서울특별시 종로구 인사동10길 23-4,"11:00 ~ 18:00",전통적인 인사동에서 느끼는 현대미술공간
141,국립고궁박물관,140,서울특별시 종로구 효자로 12,"10:00~18:00 
※ 관람 종료 1시간 전까지 입장가능",조선 왕실과 대한제국 황실의 문화와 역사의 이해를 돕는 좋은 동반자
142,한복남,141,서울특별시 종로구 사직로 133-5,"09:00 ~ 19:00
※ 시기에 따라 마감시간 변동됨으로 매장 문의",전통 한복이 가진 아름다움을 느껴보자 !
143,갤러리 M,142,서울특별시 종로구 삼일대로 445,"월~토 10:00~19:00
일요일 및 공휴일 11:00~18:30",미술 장르의 다양함을 마주하는 문화공간
144,연필로 명상하기,143,서울특별시 중구 퇴계로20길 50,문의바람,애니메이션 나도 만들어 볼래 !
145,낙원동 아구찜 거리,144,서울특별시 종로구 삼일대로 428,대부분 상점들이 24시간 영업,서울에서 맛보는 아구찜의 진수
146,남산 케이블카,145,서울특별시 중구 소파로 83,"10:00~23:00
매표마감 : 왕복티켓 22:30 / 편도티켓 22:45",남산의 풍광을 한눈에 조망할 수 있는 남산케이블카
147,천도교중앙대교당,146,서울특별시 종로구 삼일대로 457,상시,"항일운동의 거점, 천도교 중앙대교당"
148,갤러리 현대,147,서울특별시 종로구 삼청로 14,화~일 10:00~18:00,한국 미술계의 정보를 전달하고 활성화 시키는 곳
149,춘원당한의약박물관,148,서울특별시 종로구 돈화문로9길 27,"월~금요일 09:00~18:00
토요일 09:00~13:00",한의학의 근·현대 역사를 되짚어보다
150,건청궁,149,서울특별시 종로구 사직로 161,문의바람,명성황후가 일본인의 손에 의해 무참히 시해된 곳
151,다보성 갤러리,150,서울특별시 종로구 삼일대로 457,월~금 09:00~18:00 / 토 09:00~16:00,수준 높은 다수의 고미술품을 전시하고 보존하는 곳
152,갤러리 미즈,151,서울특별시 종로구 삼일대로 461,"10:30~18:30","1982년도에 개관한 갤러리 미즈는 기획전, 초대전을 비롯 한국미술의 발전을 위해 견인차 역할을 해오고 있다"
153,독립선언문 배부 터,152,서울특별시 종로구 삼일대로 457,"24시간","1919년 3·1운동 당시, 독립선언문을 검토하고 배부했던 곳"
154,금호미술관,153,서울특별시 종로구 삼청로 18,"10:00~18:00",현대미술의 흐름을 경험하는 기회
