"rest_num","rest_name","rest_img","rest_addr","rest_menu","rest_time","rest_detail"
66,순창식당,65,서울특별시 종로구 종로5길 32-3 천지빌딩,"굴비백반, 황태구이정식","월-금 09:00~21:00, 토 09:00~15:00",경복궁역 근처에 있는 이탈리아x한국 퓨전 레스토랑
67,호경전 명동점,66,서울특별시 중구 소공로 63,짬뽕,"11:00 ~ 21:30",고급스러운 중식 요리
68,마쯔야,67,서울특별시 중구 소공로 63,우동 / 소바 / 초밥,"11:00 ~ 21:30","※ 영업시간 11:00 ~ 21:30
※ 식품의약품안전처 음식점 위생등급 : 매우 우수(2017년)

소나무집을 뜻하는 마쯔야는 우동, 소바, 초밥 전문점으로 신세계백화점 본점 본관 5층에 있다. 깊은 육수의 우동 맛이 일품인 이곳은 직접 뽑은 면과 일본 장인의 제조법으로 만든 육수를 사용해 정통 일본 우동 맛을 선보인다. 최상급 참다랑어포와 정어리, 다시마, 무 등을 넣고 12시간 동안 정성껏 끓인 소바 육수는 일본 본연의 맛을 보여주기 충분하다.

일본 소바 명인 하세베 노리히코의 레시피로 만든 자루소바정식을 주문하면 신선한 5종 초밥, 바삭한 튀김과 더불어 쫄깃쫄깃 담백한 소바면을 깊고 시원한 육수에 적셔 먹을 수 있다."
69,까사빠보(구 호무랑),68,서울특별시 중구 소공로 63,함박스테이크,"11:00 ~ 21:30 (브레이크타임 15:00 ~ 16:30 / 라스트오더 20:30)","1970~1980년대 일본의 양식을 재해석한 모던 재패니즈 캐주얼 레스토랑 호무랑"
70,정동국시,69,서울특별시 중구 정동길 5,정동칼국수,"평일 11:30 ~ 21:00주말 11:30 ~ 20:00 (매주 일요일, 명절연휴 휴무)","한우 사골을 15시간 끓여낸 진한 국물이 특징이며, 끓이는 동안 수십 번 기름을 건져내는 정성이 더해져 깔끔한 국물 맛을 느낄 수 있다. 만둣국도 일반 음식점과는 다르게 같은 사골 국물을 사용해 역시 깊은 국물 맛을 느낄 수 있다. 만두는 매장에서 매일 직접 빚으며 보들보들한 만두피와 퍽퍽하지 않은 부드러운 속살이 맛나다. 정동갤러리, 정동극장, 서울 시립미술관까지 문화예술 지역에 위치하고 있어 여기저기 문화공간을 둘러보다 부담 없이 음식을 나누기 좋은 집이다."
71,희락갈치,70,서울특별시 중구 남대문시장길 22-6,갈치조림,"07:00 ~ 21:00",남대문시장 갈치조림골목 맛집
72,호남식당,71,서울특별시 중구 남대문시장길 18-6,갈치조림,"07:00-20:00",도망간 입맛도 돌아온다는 명품 갈치조림
73,오다리집,72,서울특별시 중구 명동8나길 28,간장게장 / 숯불양념갈비,"10:00 ~ 21:00","※ 영업시간 10:00 ~ 21:00

오다리집은 명동거리 인근에 있는 음식점이다. 다양한 메뉴를 제공하며 한류문화공간이라는 주제로 가게를 꾸며놓은 것이 특징이다."
74,전주식당,73,전라북도 무주군 설천면 구천동1로 101,능이백숙,"06:00 ~ 21:00",무주 80년 전통의 어머니손맛
75,중앙갈치식당,74,서울특별시 중구 남대문시장길 22-12,갈치조림,"08:30 ~ 21:00",전통이 있는 식당
76,명동 영양센터,75,서울특별시 중구 명동2길 52,전기구이통닭 / 삼계탕,"10:30-22:30","※ 영업시간 10:30 ~ 22:30

명동에 위치한 52년의 전통을 가진 삼계탕, 전기구이 통닭 전문 음식점이다. 1960년 전기구이 통닭으로 시작하여, 당시에는 생소한 기름기가 빠진 담백한 맛의 닭 요리가 입에서 입으로 유명세를 타고 인기를 얻었다고 한다. 아직도 오랜 단골손님이 찾는 곳으로, 외국에도 소개되어 이제는 명동을 찾는 외국인 관광객들이 꼭 들를 곳으로 추천받는 곳이기도 하다. 초창기부터 매니저로 일해오셨던 현재 사장님이 직접 모든 재료부터 요리 과정까지 꼼꼼히 체크하며 관리 운영하는 곳으로, 직영농장에서 공급한 품질 좋은 생닭으로 요리를 하고 있다.

직영농장에서 공급한 생닭을 2시간 이상 푹 고아 부드러운 살코기와 깊은 국물 맛을 자랑하는 영양삼계탕이나 오랜 시간 동안 전기구이로 서서히 구워 기름기를 뺀 담백하고 깔끔한 맛의 전기구이통닭이 메인메뉴이며, 특히 산삼가루를 직접 뿌려서 먹는 산삼삼계탕은 영양센터만의 특별 메뉴이다."
77,마이클 바이 해비치,76,서울특별시 종로구 우정국로 26,"코스메뉴, 랍스터샌드위치, 미트라자냐","11:00~ 22:00 (브레이크 타임14:30~17:30  /  라스트 오더 21:00)",데이트하기 좋은 다이닝 레스토랑
78,이강순실비집,77,서울특별시 종로구 청계천로 77-1,낙지볶음,"10:00~22:00",오랜 전통의 매운 낙지볶음 전문점
79,곰국시집 명동,78,"서울특별시 중구 명동10길 19-3, 2층",전골국수,"11:00 ~ 21:30",고소한 양지수육과 부드러운 전골국수
80,팔레드 신,79,서울특별시 중구 퇴계로 67 AK타워,북경오리,"11:30~22:00(브레이크 타임 15:00~17:30)",전통적인 동양의 맛을 즐길 수 있는 회현역 맛집
81,광화문한옥집,80,"서울특별시 종로구 새문안로5가길 7, 지하1층",고랭지 묵은지 김치찜,"11:30~22:00 (브레이크타임 15:00~17:00)","광화문한옥집은 세종클럽 지하 1층에 위치하며 광화문 최고의 한식과 전통주를 즐길 수 있는 Korean Pub으로, 민속적인 느낌을 그대로 유지하고 아기자기한 전통 소품들이 어울려 있어 주변 직장인들과 외국인들에게도 인기가 있다. 총 124석, 룸 2개가 있으며 전통 부엌을 그대로 살린 룸도 인기가 많고, 인테리어가 정겨워 많은 직장인들이 점심식사와 저녁에는 막걸리를 한잔하며 즐겨 찾고 있다.
(출처: 광화문한옥집)"
82,금용문,81,"서울특별시 종로구 새문안로5가길 7, 2층",딤섬,"11:30-22:00(브레이크타임 15:00-17:00)",최고의 주방장이 선보이는 고품격 중식당
83,일품당프리미엄,82,서울특별시 종로구 새문안로5가길 7,샤브샤브,"10:00 - 22:00브레이크타임 15:00-17:00 / 라스트오더 21:15","세종클럽 3층에 위치한 일품당 프리미엄은 이미 최고의 샤브샤브의 명당으로 자리잡은 일품당 광화문점의 맛과 명성을 담아 한층 업그레이드된 맛과 서비스를 제공한다. 또한, 최고의 장인에 의해 정성을 다하여 만들어지는 차별화된 소스로 고객님들에게 스끼야끼, 샤브샤브 선보이고 있다. 독립된 룸과모니터 시설등이 갖추어져 있으며 세미나 및 컨퍼런스 이용도 가능하다. 프라이빗한 룸은 4인, 8인, 10인, 16인, 20인, 30인, 60인 규모의 룸등 총12개의 룸을 보유하고 있어 다양한 모임을 진행하실 수 있다."
84,떼아떼베네,83,서울특별시 종로구 종로12길 7,통베이컨 까르보나라,"11:00 ~ 21:30",고르곤졸라 피자와 까르보나라가 맛있는 파스타집
85,된장예술과술,84,서울특별시 종로구 삼일대로15길 20,된장정식,"11:00 ~ 23:00",한식요리 전문점
86,명동교자,85,서울특별시 중구 명동10길 29,칼국수 / 만두,"10:30~21:00 (라스트오더 20:30)","1966년 명동 칼국수로 문을 열어 지금까지 약 50년이 넘는 시간 동안 운영해온 명동교자는 명동성당 인근에 위치하고 있는 칼국수 전문 음식점이다. 한국의 전통 면 요리라 할 수 있는 칼국수는 모든 사람들이 좋아하는 메뉴 중 하나인데 그러한 메뉴를 가지고 50년이 넘는 시간 동안 최고의 자리를 지켜온 집이 바로 명동 교자라 할 수 있다.
명동교자의 대표 메뉴는 누가 뭐라 해도 구수하고 진한 국물과 부드러운 면발이 잘 어우러져 깊은 맛을 느낄 수 있는 칼국수이다. 칼국수 위에 고명으로 올라가는 푸짐한 고기와 야채는 칼국수의 맛을 한층 더해준다. 얇은 피에 갖은 재료를 풍부하게 다져 맛을 낸 만두 또한 빼놓을 수 없는 별미이며, 비빔국수와 콩국수 등의 메뉴도 준비되어 있다."
87,평안도만두집,86,서울특별시 종로구 새문안로3길 30,만두전골,"11:00 ~ 21:30",단백한 맛이 일품인 이북식 음식을 맛볼 수 있는 식당
88,광장동 가온,87,서울특별시 중구 명동길 74 명동성당,가온곰국시,"11:00 ~ 20:30","3대째 내려오는 내 가족 안심 먹거리!"
89,해담채 시청점,88,서울특별시 중구 칠패로 37,해담채정식,"11:30 ~ 22:00 (브레이크타임 14:30 ~ 17:30) / 토요일 11:30 ~ 21:00 (브레이크타임 14:30 ~ 17:30)","해담채의 인기 메뉴는 세꼬시를 해초에 한 쌈해서 먹는 ""해담채 정식""과 도미, 광어 등 제철 생선회를 다양한 해산물과 함께 푸짐하게 즐길 수 있는 ""해담채 바다A""이다. 해담채는 시청점, 강남점, 남부터미널점, 서여의도점, 삼성포스코점 5개 직영매장으로 운영되며 모임하기 좋은 대형룸과 프라이빗 룸이 구비되어 있어 비즈니스, 단체 모임, 가족외식 장소로도 제격이다. 또한 보리굴비와 직접 담근 간장게장, 고등어 구이, 조림 등 다양한 식사 메뉴와 도다리 쑥국 등 계절 메뉴로 고객의 입맛을 사로잡고 있다."
90,라브리,89,서울특별시 종로구 종로 1,디너코스,"11:30 ~ 21:30 (브레이크타임 15:00 ~ 18:00)","안식처라는 뜻의 대형 프랑스 레스토랑이며, 특히 램 스테이크가 맛이 좋은 것으로 소문이 나 있다. 각종 모임, 연회 등으로 항상 사람이 많기 때문에 식사 전 예약을 해두는 것이 좋다."
91,새봄떡국국수,90,서울특별시 중구 새문안로 24,활전복떡국,"09:00 ~ 21:30",독특한 재료로 떡국을 만드는 서대문역 맛집
92,은호식당,91,서울특별시 중구 남대문시장4길 28-4,꼬리곰탕,"06:30 ~ 21:00 (주말 06:30 ~ 16:00)",크림스파게티가 유명한 줄서서 먹는 광화문 맛집
93,오로지라멘종각점,92,서울특별시 종로구 종로14길 16,오로지라멘,"11:00~21:00 (브레이크타임 15:00~17:00 / 라스트오더 20:20)",고소하고 진한 육수의 라멘
94,장수촌 풍천장어,93,서울특별시 종로구 삼일대로17길 8,장어구이,매일 10:00 ~ 22:00,고소하고 담백한 맛이 일품인 풍천장어 맛집
95,이문설농탕,94,서울특별시 종로구 우정국로 38-13,설농탕,"08:00 ~ 21:00 (일요일 ~ 20:00 / 브레이크타임 15:00 ~ 16:30)","이문설농탕은 100년 이상의 전통을 가진 음식점으로 우리나라에서 가장 오래된 음식점이라고 한다. 1907년에 개업한 이래 한 세기를 한자리에서 음식점을 운영할 수 있는 장수의 비결은 한결 같은 맛이라고 한다. 이문설농탕의 건물도 일제강점기때 건물 그대로이다. 설렁탕은 사골, 도가니 쇠머리, 우족 등의 뼈와 양지머리, 사태, 우설, 지라 등을 넣고 하루 정도 푹 고아 끓인 것으로 담백한 국물 맛이 일품인 음식이다. 여기에 달달하고 새콤한 깍두기를 얹어서 먹어야 제 맛이라 할 수 있다. 이문설농탕은 기름기가 적은 뽀얀 국물에 담백하고, 짙은 국물 맛이 특징이다. 이곳은 그 역사만큼 찾는 손님들도 연세 지긋하신 어르신들이 많다. 몇 년 전부터는 일본에도 소개가 되어 일본 관광객들도 많이 찾는 명소가 되어 가고 있다."
